Date : 2021-08-29 02:49:00
Directory : d:\Dev\Beer-Bulletin\beer-bulletin
Total : 105 files,  26875 codes, 565 comments, 1189 blanks, all 28629 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\Layout.jsx                               | JavaScript React |         51 |          7 |          9 |         67 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\LoadingErrorMessage.jsx                  | JavaScript React |          4 |          0 |          2 |          6 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\ScalableIcon.jsx                         | JavaScript React |         24 |          0 |          3 |         27 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\UserProfileCard.jsx                      | JavaScript React |         56 |          0 |          7 |         63 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\ablyChat\AblyChatComponent.jsx           | JavaScript React |        114 |          5 |         17 |        136 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\ablyChat\AblyChatComponent.module.css    | CSS              |         64 |          0 |          9 |         73 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\beerPong\BeerPongGame.jsx                | JavaScript React |         26 |          1 |          5 |         32 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\bottomNav\BotNavButton.jsx               | JavaScript React |         22 |          0 |          6 |         28 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\bottomNav\index.jsx                      | JavaScript React |        142 |          6 |         18 |        166 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\CreatePostButton.jsx             | JavaScript React |         28 |          1 |          4 |         33 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SignIn.jsx                       | JavaScript React |         10 |          0 |          3 |         13 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SignOut.jsx                      | JavaScript React |         10 |          0 |          3 |         13 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SignUp.jsx                       | JavaScript React |         10 |          0 |          3 |         13 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SliderBtn.jsx                    | JavaScript React |         80 |          0 |          7 |         87 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\CreatePostForm.jsx                 | JavaScript React |        263 |         22 |         18 |        303 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\LoginForm.jsx                      | JavaScript React |        245 |          8 |         18 |        271 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\RegisterForm.jsx                   | JavaScript React |        306 |          5 |         24 |        335 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\UserSettingForm.jsx                | JavaScript React |        419 |          5 |         21 |        445 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\offerForm.jsx                      | JavaScript React |        282 |          2 |         21 |        305 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\glassCard.jsx                            | JavaScript React |         23 |          1 |          5 |         29 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\header.jsx                               | JavaScript React |         46 |          1 |          6 |         53 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\modals\SearchBulletinsFilter.jsx         | JavaScript React |          0 |          0 |          1 |          1 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\search-bulletins\bulletinCard.jsx        | JavaScript React |         78 |          2 |         10 |         90 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\search-bulletins\singleBulletin.jsx      | JavaScript React |         57 |          0 |          7 |         64 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\users-bulletins\bulletin-card.jsx        | JavaScript React |        192 |          2 |         11 |        205 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\users-bulletins\offer-card.jsx           | JavaScript React |        202 |          3 |         12 |        217 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\users-bulletins\single-bulletin.jsx      | JavaScript React |        126 |          5 |         11 |        142 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\config\config.js                                 | JavaScript       |         40 |          0 |          1 |         41 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\config\connection.js                             | JavaScript       |         20 |          0 |          4 |         24 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200602192713-create-posts.js        | JavaScript       |         36 |          0 |          1 |         37 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200603040826-create-users.js        | JavaScript       |         48 |          0 |          1 |         49 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200603174724-add-posts-associate.js | JavaScript       |         24 |          0 |          1 |         25 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200608061846-create-jobs.js         | JavaScript       |         45 |          0 |          1 |         46 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200609023118-add-jobs-associate.js  | JavaScript       |         24 |          0 |          1 |         25 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\models\Offer.js                                  | JavaScript       |         55 |          4 |          5 |         64 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\models\Trade.js                                  | JavaScript       |         44 |          3 |          4 |         51 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\models\User.js                                   | JavaScript       |         71 |          0 |          4 |         75 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\models\index.js                                  | JavaScript       |         39 |          1 |         11 |         51 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\mongoDB\dbConnect.js                             | JavaScript       |         32 |          5 |          9 |         46 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\mongoDB\models\Message.js                        | JavaScript       |         23 |          0 |          3 |         26 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\schema.sql                                       | SQL              |          2 |          0 |          5 |          7 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\index.js                                 | JavaScript       |         15 |          0 |          8 |         23 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\offerSeedData.json                       | JSON             |        109 |          0 |          1 |        110 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\tradeSeedData.json                       | JSON             |         51 |          0 |          1 |         52 |
| d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\userSeedData.json                        | JSON             |         52 |          0 |          1 |         53 |
| d:\Dev\Beer-Bulletin\beer-bulletin\middleware\auth.js                                  | JavaScript       |         47 |         10 |          5 |         62 |
| d:\Dev\Beer-Bulletin\beer-bulletin\middleware\cloudinary.js                            | JavaScript       |          8 |          1 |          4 |         13 |
| d:\Dev\Beer-Bulletin\beer-bulletin\middleware\utils.js                                 | JavaScript       |         37 |         12 |          5 |         54 |
| d:\Dev\Beer-Bulletin\beer-bulletin\next.config.js                                      | JavaScript       |          6 |          0 |          1 |          7 |
| d:\Dev\Beer-Bulletin\beer-bulletin\package-lock.json                                   | JSON             |     16,728 |          0 |          1 |     16,729 |
| d:\Dev\Beer-Bulletin\beer-bulletin\package.json                                        | JSON             |         43 |          0 |          1 |         44 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\404.jsx                                       | JavaScript React |          4 |          0 |          2 |          6 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\Auth\index.jsx                                | JavaScript React |         81 |          2 |         10 |         93 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\CreatePost.jsx                                | JavaScript React |          6 |          2 |          3 |         11 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\CurrentChats\[id].jsx                         | JavaScript React |         64 |          3 |         10 |         77 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\CurrentChats\index.jsx                        | JavaScript React |         73 |          5 |         15 |         93 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\SearchBulletins\[id].jsx                      | JavaScript React |         57 |          1 |         10 |         68 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\SearchBulletins\index.jsx                     | JavaScript React |         43 |          4 |         13 |         60 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\UserProfile\index.jsx                         | JavaScript React |         94 |          3 |         18 |        115 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\UsersBulletins\[id].jsx                       | JavaScript React |         39 |          0 |          8 |         47 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\UsersBulletins\index.jsx                      | JavaScript React |        109 |          4 |         17 |        130 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\_app.js                                       | JavaScript       |         45 |          8 |          9 |         62 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\_document.jsx                                 | JavaScript React |         45 |         25 |          7 |         77 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\auth.js                                   | JavaScript       |         62 |          9 |          4 |         75 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\createTokenRequest.js                     | JavaScript       |         20 |          1 |          3 |         24 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\images\img_upload.js                      | JavaScript       |         13 |          0 |          3 |         16 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\images\s3-connect.js                      | JavaScript       |         59 |          9 |         11 |         79 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\messages\[slug].js                        | JavaScript       |         17 |          1 |          5 |         23 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\messages\index.js                         | JavaScript       |         14 |          1 |          5 |         20 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\[slug].js                          | JavaScript       |         61 |          0 |          6 |         67 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\index.js                           | JavaScript       |         51 |          0 |          4 |         55 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\with-trades\[slug].js              | JavaScript       |         36 |          0 |          4 |         40 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\with-trades\index.js               | JavaScript       |         29 |          0 |          4 |         33 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\[slug].js                          | JavaScript       |         65 |          0 |          6 |         71 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\index.js                           | JavaScript       |         42 |          6 |          5 |         53 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\with-offers\[slug].js              | JavaScript       |         50 |          2 |          4 |         56 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\with-offers\index.js               | JavaScript       |         40 |          0 |          3 |         43 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\[slug].js                           | JavaScript       |         80 |          0 |          8 |         88 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\index.js                            | JavaScript       |         61 |          8 |          4 |         73 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-offers\[slug].js               | JavaScript       |         71 |          3 |          3 |         77 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-offers\index.js                | JavaScript       |         68 |          6 |          5 |         79 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-trades\[slug].js               | JavaScript       |         66 |          3 |          3 |         72 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-trades\index.js                | JavaScript       |         58 |          2 |          3 |         63 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\index.jsx                                     | JavaScript React |        200 |          0 |         12 |        212 |
| d:\Dev\Beer-Bulletin\beer-bulletin\pages\login.css                                     | CSS              |          3 |          0 |          1 |          4 |
| d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\GLTFLoader.js                       | JavaScript       |      2,308 |        294 |        457 |      3,059 |
| d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ably.min-1.0.13.js                  | JavaScript       |        301 |         11 |          0 |        312 |
| d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ammo\ammo.js                        | JavaScript       |        543 |          4 |         11 |        558 |
| d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ammo\ammo.wasm.js                   | JavaScript       |        513 |          1 |          6 |        520 |
| d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\beerPong.html                       | HTML             |        489 |          0 |         68 |        557 |
| d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\enable3d.ammoPhysics.0.23.0.min.js  | JavaScript       |          1 |          2 |          0 |          3 |
| d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\three.min.js                        | JavaScript       |          1 |          5 |          1 |          7 |
| d:\Dev\Beer-Bulletin\beer-bulletin\public\vercel.svg                                   | XML              |          4 |          0 |          0 |          4 |
| d:\Dev\Beer-Bulletin\beer-bulletin\styles\muiImports.jsx                               | JavaScript React |          0 |          0 |          1 |          1 |
| d:\Dev\Beer-Bulletin\beer-bulletin\styles\theme.jsx                                    | JavaScript React |         92 |          4 |          4 |        100 |
| d:\Dev\Beer-Bulletin\beer-bulletin\util\getImageData.js                                | JavaScript       |         16 |          5 |          1 |         22 |
| d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\AblyReactEffect.js                       | JavaScript       |         26 |          1 |          9 |         36 |
| d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useAsynFetch.js                          | JavaScript       |          2 |          0 |          2 |          4 |
| d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useFramerScroll.jsx                      | JavaScript React |         11 |          0 |          4 |         15 |
| d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useS3Connect.jsx                         | JavaScript React |         99 |          9 |         17 |        125 |
| d:\Dev\Beer-Bulletin\beer-bulletin\util\pathAccessS3.js                                | JavaScript       |          0 |          2 |          1 |          3 |
| Total                                                                                  |                  |     26,875 |        565 |      1,189 |     28,629 |
+----------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
